lane_id,title,domain,status,held_product_ids,next_verification,source_url
R15,Election methodology,elections,roadmap_partial,,"Capture the publisher index/API that enumerates methodology documents, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://elections.nz/
R16,2023 election results,elections,held_snapshot,P09;P08,Add separately bounded historical election years; do not infer all-history coverage from 2023.,https://elections.nz/
R17,Fiscal & RBNZ evidence,economy,held_partial,P18,"Capture the publisher index/API that enumerates fiscal releases, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R18,Geographic crosswalks,people,roadmap_partial,,"Capture the publisher index/API that enumerates crosswalk rows, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.stats.govt.nz/
R19,Hansard,parliament,roadmap_partial,,"Capture the publisher index/API that enumerates sitting transcripts, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.parliament.nz/
R20,Health outcomes,people,held_partial,P11,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.tewhatuora.govt.nz/for-health-professionals/data-and-statistics/
R21,Housing & rental bonds,people,held_partial,P23,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.tenancy.govt.nz/rent-bond-and-bills/market-rent/
R22,Immigration & workforce,people,roadmap_partial,,"Capture the publisher index/API that enumerates statistical releases, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R23,Infrastructure & transport,economy,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R24,Cross-source validation,platform,roadmap_discovery,,"Create public, synthetic cross-source validation fixtures with no copied source content.",https://www.parliament.nz/
R25,Broadcast interviews,government,roadmap_discovery,,"Capture the publisher index/API that enumerates programme items, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R26,Video interviews,government,roadmap_discovery,,"Capture the publisher index/API that enumerates videos, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R27,Justice & safety,people,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R28,Legislation versions,parliament,blocked_unverified,,"Obtain a publisher-supported legislation index/export that returns genuine version metadata, then fixture-test pagination and capture every listed version.",https://www.parliament.nz/
R29,Local government,people,roadmap_partial,,"Capture the publisher index/API that enumerates council datasets, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R30,Current manifestos,elections,not_yet_available,,Build a bounded 17-party current-manifesto status collector with dated official-site evidence; label missing evidence unverified and never treat a 404 alone as proof of non-publication.,https://www.data.govt.nz/
R31,Manifesto history,elections,roadmap_discovery,,"Capture the publisher index/API that enumerates catalogue records, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R32,Committee business & reports,parliament,held_snapshot,P05;P06;P07,"For broader committee coverage, define and enumerate hearings, submissions, inquiries and other business separately.",https://www.parliament.nz/
R33,Written questions,parliament,held_validation_pending,P24,Independently validate the dated snapshot IDs against an official month-by-month denominator before making a completeness claim.,https://www.parliament.nz/
R34,Parliament votes,parliament,roadmap_partial,,"Capture the publisher index/API that enumerates vote divisions, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.parliament.nz/
R35,Party policy & polls,elections,held_snapshot,P14;P13,Selected 17-party 2026 policy-page product is closed. Track future publisher changes as a separate refresh; do not equate this with 17 separately published 2026 manifestos.,https://www.data.govt.nz/
R36,Policy delivery,government,roadmap_partial,,"Capture the publisher index/API that enumerates delivery indicators, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.beehive.govt.nz/releases
R37,Policy discovery,elections,roadmap_partial,,"Capture the publisher index/API that enumerates policy documents, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R38,Political finance,elections,held_snapshot,P15;P16;P17,"For a separate bounded next product, add OCR/page citations for the six image-only PDFs or select another reporting year; do not conflate donations, loans, amendments, or aggregate totals.",https://elections.nz/
R39,Provenance review,platform,roadmap_discovery,,Define an auditable public provenance checklist and test each published artefact.,https://www.data.govt.nz/
R40,Public accountability,government,roadmap_partial,,"Capture the publisher index/API that enumerates accountability resources, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R41,Search quality evaluation,platform,roadmap_discovery,,Define a public evaluation set using synthetic or redistribution-approved examples.,https://www.beehive.govt.nz/releases
R42,Source inventory method,platform,roadmap_discovery,,Maintain one public inventory entry per declared source family.,https://www.beehive.govt.nz/releases
R43,Source prioritisation,platform,not_yet_available,,Define transparent public-interest and evidence-quality ranking criteria.,https://www.data.govt.nz/
R44,2023 Census products,people,held_snapshot,P21,"Retain exact 37,689-row fail-closed validation and expand scope only after a publisher index proves additional Census product identities.",https://www.stats.govt.nz/
R45,Stats discovery,economy,roadmap_discovery,,"Capture the publisher index/API that enumerates catalogue products, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.stats.govt.nz/
R46,Stats NZ catalogue,economy,held_partial,P19;P20,"Capture the publisher index/API that enumerates catalogue products, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.stats.govt.nz/
R47,Food prices & population,economy,held_snapshot,P22,"Retain exact 55,428-row selected-product reconciliation and widen scope only after a publisher index proves additional series identities.",https://www.stats.govt.nz/
R48,Temporal entities,parliament,roadmap_partial,,"Capture the publisher index/API that enumerates dated entity assertions, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.parliament.nz/
R49,Trade & primary sector,economy,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.data.govt.nz/
R50,Transport-source diagnostics,platform,roadmap_discovery,,Document source-level transport coverage and gaps without operational diagnostics.,https://www.data.govt.nz/
R51,Public data model,platform,roadmap_discovery,,Define a backend-neutral public data model; no warehouse is required.,https://www.data.govt.nz/
R52,Water & environment,economy,roadmap_partial,,"Capture the publisher index/API that enumerates dataset or reports, fixture-test all pagination and release variants, then reconcile stable IDs and loaded originals to that index.",https://www.stats.govt.nz/
